School Name,Rk,Gtm,Location,Opp,Type_adv,Score Rslt_adv,Score Tm_adv,Score Opp_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score Tm_bas,Score Opp_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
BOWLING GREEN STATE,22.5,22.5,,,,,70.55,73.35,,24.05,56.55,0.4264,7.4,22.2,0.3377,16.65,34.35,0.4838,0.4920999999999999,15.05,20.95,0.7211000000000001,7.55,23.55,31.1,10.6,6.8,3.65,11.65,17.05,26.1,58.15,0.44995,8.35,25.7,0.33080000000000004,17.75,32.45,0.5412,0.5219,12.8,16.45,0.7638499999999999,7.05,24.2,31.25,14.1,6.4,4.05,11.6,17.5,,,,70.55,73.35,,100.03999999999999,103.68999999999998,70.55,0.37270000000000003,0.39165000000000005,0.5311999999999999,49.585,43.915,9.62,11.625,0.4920999999999999,14.875,23.4,0.2681,0.5219,14.945000000000002,76.6,0.22469999999999998
BRADLEY,27.5,27.5,,,,,74.05,69.25,,26.35,54.65,0.48229999999999995,8.9,23.2,0.37255000000000005,17.45,31.45,0.5571999999999999,0.5621499999999998,12.45,16.9,0.7329,6.75,24.55,31.3,13.55,5.35,3.7,10.4,17.0,23.15,56.6,0.40995,8.85,25.25,0.35295,14.3,31.35,0.45955,0.4878499999999999,14.1,19.25,0.7276999999999999,8.35,21.55,29.9,12.65,6.5,2.15,9.1,16.5,,,,74.05,69.25,,110.91999999999999,104.33,66.00500000000001,0.31385,0.42264999999999997,0.58955,50.92,51.239999999999995,8.065000000000001,11.915000000000001,0.5621499999999998,14.379999999999999,23.315,0.22999999999999998,0.4878499999999999,12.149999999999999,76.695,0.25409999999999994
BRIGHAM YOUNG,26.5,26.5,,,,,81.95,77.3,,29.1,60.05,0.48775,10.5,28.05,0.3728,18.6,32.0,0.5828,0.5765,13.25,18.15,0.7231500000000001,8.55,22.95,31.5,17.25,7.05,2.85,11.5,17.45,27.0,60.8,0.44539999999999996,10.1,28.1,0.3558,16.9,32.7,0.5196000000000001,0.52785,13.2,18.2,0.6889,9.0,20.35,29.35,14.0,6.6,2.95,10.5,16.85,,,,81.95,77.3,,115.20500000000001,108.3,69.625,0.30810000000000004,0.46819999999999995,0.60025,51.56999999999999,59.214999999999996,9.795,8.780000000000001,0.5765,14.264999999999997,29.110000000000003,0.22555,0.52785,13.045000000000002,70.89,0.22089999999999996
BROWN,17.5,17.5,,,,,71.1,73.05,,26.8,60.9,0.44195,7.65,23.6,0.31604999999999994,19.15,37.3,0.5066499999999999,0.5045499999999998,9.85,15.65,0.6239000000000001,9.1,23.7,32.8,14.55,6.0,5.1,10.8,15.8,26.4,60.65,0.43784999999999996,7.85,23.9,0.33494999999999997,18.55,36.75,0.50665,0.5033000000000001,12.4,17.7,0.68865,9.1,23.95,33.05,12.85,6.85,3.95,9.85,13.6,,,,71.1,73.05,,101.68999999999998,104.425,69.06,0.26285,0.38669999999999993,0.5213,50.075,53.495000000000005,8.489999999999998,13.920000000000002,0.5045499999999998,13.76,27.025,0.16690000000000002,0.5033000000000001,12.429999999999998,72.98,0.20374999999999996
BRYANT,25.5,25.5,,,,,81.05,69.85,,30.5,66.35,0.4588,7.45,23.45,0.31555,23.05,42.9,0.5359,0.5148499999999999,12.6,17.35,0.7214499999999999,12.1,26.7,38.8,15.55,6.4,6.8,10.1,15.05,25.45,62.2,0.4101,7.45,22.85,0.31825,18.0,39.35,0.46030000000000004,0.4696999999999999,11.5,16.8,0.67845,7.9,23.3,31.2,11.1,5.95,2.45,11.3,16.15,,,,81.05,69.85,,110.80499999999999,95.66,73.09499999999998,0.26515000000000005,0.35295,0.5424499999999999,55.42999999999999,50.58,8.77,17.259999999999998,0.5148499999999999,11.785,34.25,0.1921,0.4696999999999999,13.910000000000002,65.755,0.18565
BUCKNELL,23.5,23.5,,,,,76.9,71.05,,27.5,55.65,0.4949,8.3,21.25,0.38725,19.2,34.4,0.5574,0.5686000000000001,13.6,19.9,0.68245,7.25,23.65,30.9,14.1,6.5,3.0,10.9,17.05,24.25,56.15,0.43105000000000004,8.3,23.05,0.3560499999999999,15.95,33.1,0.4846500000000001,0.50465,14.25,20.5,0.6724000000000001,6.75,21.2,27.95,11.9,6.7,2.75,10.45,16.85,,,,76.9,71.05,,111.22,102.15,66.69,0.36285,0.3789,0.59115,52.48,51.625,9.345000000000002,9.145,0.5686000000000001,14.3,25.060000000000002,0.25015000000000004,0.50465,13.654999999999998,74.94500000000001,0.26044999999999996
BUFFALO,21.5,21.5,,,,,70.8,81.3,,24.6,59.2,0.41835000000000006,8.05,26.4,0.31445,16.55,32.8,0.5058499999999999,0.48644999999999994,13.55,19.3,0.7049,8.6,22.6,31.2,13.25,7.0,3.3,13.9,17.85,29.4,60.85,0.48229999999999995,7.6,20.9,0.36205,21.8,39.95,0.546,0.5439499999999999,14.9,20.5,0.7273499999999999,9.3,25.8,35.1,15.4,8.25,3.1,11.85,17.15,,,,70.8,81.3,,96.66,110.91000000000001,73.4,0.33544999999999997,0.4415499999999999,0.521,47.30499999999999,54.44499999999999,9.445,8.409999999999998,0.48644999999999994,16.990000000000002,25.005000000000003,0.23434999999999997,0.5439499999999999,14.355,74.995,0.2511
BUTLER,25.5,25.0,,,,,76.10526315789474,77.63157894736842,,27.263157894736842,58.526315789473685,0.4670000000000001,8.473684210526315,23.68421052631579,0.3572631578947368,18.789473684210527,34.8421052631579,0.5413684210526316,0.5396315789473685,13.105263157894736,17.57894736842105,0.7423157894736842,7.157894736842105,24.36842105263158,31.526315789473685,13.68421052631579,4.421052631578948,2.1578947368421053,9.421052631578947,12.368421052631579,30.526315789473685,65.15789473684211,0.47110526315789475,8.210526315789474,24.842105263157894,0.3268421052631578,22.31578947368421,40.31578947368421,0.5559473684210525,0.5346842105263159,8.368421052631579,11.526315789473685,0.7211578947368421,9.157894736842104,23.63157894736842,32.78947368421053,15.31578947368421,6.526315789473684,3.736842105263158,7.578947368421052,16.526315789473685,,,,76.10526315789474,77.63157894736842,,110.35789473684211,112.55263157894737,68.68947368421053,0.308,0.4062631578947369,0.5693157894736842,49.473684210526315,50.46842105263158,6.4263157894736835,5.3052631578947365,0.5396315789473685,12.178947368421051,23.631578947368425,0.2302105263157895,0.5346842105263159,9.663157894736841,76.36842105263159,0.1318421052631579
CAL POLY,25.5,25.5,,,,,80.45,80.15,,28.15,61.6,0.4549500000000001,11.95,31.95,0.3716500000000001,16.2,29.65,0.5366000000000001,0.5523,12.2,15.8,0.7687999999999999,7.95,21.5,29.45,14.45,7.7,1.9,13.7,17.65,28.35,61.65,0.46040000000000003,8.6,25.5,0.33869999999999995,19.75,36.15,0.5523,0.5303,14.85,18.85,0.78495,10.0,23.7,33.7,14.5,7.55,2.45,13.6,16.9,,,,80.45,80.15,,107.425,107.73499999999999,74.035,0.2588,0.5224500000000001,0.5798500000000001,46.55,53.019999999999996,10.295,5.12,0.5523,16.56,25.28,0.1998,0.5303,16.015,74.72,0.24219999999999997
CAL STATE BAKERSFIELD,23.5,23.5,,,,,72.95,76.85,,24.8,58.25,0.42699999999999994,6.55,17.6,0.37029999999999996,18.25,40.65,0.45084999999999986,0.4847499999999999,16.8,21.65,0.7822,10.85,19.9,30.75,9.65,6.85,2.55,11.25,20.7,25.35,53.0,0.48185,8.0,21.65,0.36485,17.35,31.35,0.5608,0.55865,18.15,24.7,0.7284499999999999,7.95,20.85,28.8,13.05,5.25,2.7,12.2,19.2,,,,72.95,76.85,,106.03,111.45,68.55,0.38130000000000003,0.30460000000000004,0.53325,51.315,39.07999999999999,9.87,8.169999999999998,0.4847499999999999,14.084999999999999,33.595,0.2961,0.55865,15.769999999999996,66.405,0.3444999999999999
