School Name,Rk,Gtm,Score Tm_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
FORDHAM,31,31,74,,25.8,62.8,0.4122,8.2,25.2,0.3278,17.6,37.6,0.4738,0.478,14.2,19.4,0.6706,11.6,20.8,32.4,12.4,6.6,3.8,10.6,19.2,28.2,58.2,0.4864,8.2,22.6,0.361,20,35.6,0.5716,0.5572,18.6,25.2,0.7494,9.2,23.8,33,15,7,4,9.8,16.6,,,,,105.12,117.98,70.9,0.3126,0.403,0.514,49.46,47.42,9.12,11.16,0.478,12.84,32.76,0.2308,0.5572,12.16,67.24,0.3214
FRESNO STATE,30,30,66.2,,23,56.6,0.4058,5.4,18.2,0.297,17.6,38.4,0.4518,0.455,14.8,22,0.6728,11,22.8,33.8,7.4,6.4,3.4,10,14.8,26.2,61.8,0.422,10,31.8,0.3102,16.2,30,0.5158,0.503,12.4,16.2,0.738,12.4,23.4,35.8,17.2,6.2,5,9.2,19,,,,,100.42,112.38,64.66,0.3962,0.323,0.4948,48.52,32.32,9.4,12,0.455,12.96,31.96,0.267,0.503,11.6,68.04,0.202
FURMAN,33,33,80.4,,26.4,53.4,0.496,12.4,29,0.4284,14,24.4,0.5786,0.613,15.2,20.4,0.7086,6.8,19,25.8,14.8,6.4,2.2,10.4,16.8,27.4,57,0.4854,9.8,25,0.3968,17.6,32,0.5596,0.5732,14.8,18.8,0.7962,9.2,20,29.2,12.2,7,2,10.2,15.8,,,,,119.94,119.28,65.28,0.388,0.5436,0.6364,46.54,55.86,9.46,6.84,0.613,14.12,24.66,0.2886,0.5732,13.26,75.34,0.2716
GARDNER-WEBB,29,29,65.4,,24,56.4,0.4238,4,15,0.2508,20,41.4,0.4792,0.4598,13.4,20,0.6528,10.4,22.6,33,6.8,4.8,2,13.4,17.6,26.6,58.4,0.4554,5.8,20.8,0.2834,20.8,37.6,0.5538,0.505,14.8,20,0.7622,8.4,23.6,32,12.6,5.4,3.8,8.6,18.4,,,,,95,108.1,68.52,0.3614,0.2684,0.4944,50.56,28.3,6.86,5.4,0.4598,16.86,30.1,0.2416,0.505,11.16,69.9,0.2526
GEORGE MASON,34,34,74,,24.4,52.2,0.4688,8.4,20.4,0.418,16,31.8,0.5096,0.5492,16.8,22.2,0.7782,7.8,20,27.8,14.2,9.8,3.8,12.2,16.4,22,54,0.411,10,29.4,0.3468,12,24.6,0.4906,0.505,14.2,18.8,0.7512,10.4,20.4,30.8,11.8,8,3.4,14.6,19.6,,,,,110.3,101.56,67.14,0.4272,0.3912,0.5906,47.5,59,14.64,14.64,0.5492,16.34,27.98,0.323,0.505,18.94,72.02,0.272
GEORGE WASHINGTON,32,32,72.8,,24,51.6,0.4626,8,22.8,0.3506,16,28.8,0.552,0.54,16.8,25.2,0.6624,7.4,22,29.4,13.2,7.2,2,12.6,13.4,27.8,60.6,0.4592,8.8,24.8,0.3596,19,35.8,0.5194,0.5328,9.2,11.6,0.7436,10.2,21.8,32,14.2,9,4.6,11,18,,,,,108.44,108.6,67.84,0.4892,0.4434,0.5698,47.82,54.44,10.62,5.72,0.54,16.34,26,0.3244,0.5328,14.32,74,0.157
GEORGETOWN,32,31.5,76,,27.5,65.25,0.4225,10.25,28.25,0.35225,17.25,37,0.46475,0.50125,10.75,15.25,0.723,8.25,22.25,30.5,13.25,6,1.5,7.25,15.75,27.75,54.75,0.5085,7.5,21.75,0.361,20.25,33,0.616,0.578,14.25,19.5,0.728,4.5,26.25,30.75,17.5,5.25,3.75,9,14,,,,,108.7,110.6,70.025,0.2365,0.4325,0.527,49.625,48.65,8.45,4.275,0.50125,9.1,22.95,0.16825,0.578,12.275,77.05,0.2605
GEORGIA,31,31,75.6,,25.2,56.4,0.4484,7.2,22.4,0.327,18,34,0.5276,0.5128,18,25.2,0.705,9.4,22.6,32,9.4,7.4,3.6,10.6,17.6,24.6,54.8,0.4464,10,23.6,0.4318,14.6,31.2,0.4626,0.5378,14.6,20.4,0.7174,7.6,20.6,28.2,13.2,6,1.8,10.6,20.6,,,,,110.68,107.4,68.54,0.4582,0.394,0.5552,53.5,37.5,10.7,11.9,0.5128,13.26,31.1,0.3288,0.5378,13.94,68.9,0.2686
GEORGIA SOUTHERN,31,31,71.8,,26.8,59.8,0.4476,9,25,0.3572,17.8,34.8,0.5038,0.5236,9.2,14.2,0.6498,9,22,31,14,7,3.4,12,16.8,25,58,0.4354,6.6,19.8,0.3454,18.4,38.2,0.4804,0.4918,14.6,21,0.656,9.2,21.6,30.8,11,5.8,4.4,10.8,14.8,,,,,103.12,102.26,69.48,0.2394,0.4182,0.54,50.06,52.62,10.04,8.86,0.5236,15.24,30.32,0.154,0.4918,13.72,69.68,0.2616
GEORGIA STATE,31,31,76.2,,27.6,58.6,0.4754,6.4,17.2,0.3876,21.2,41.4,0.5148,0.5298,14.6,20.2,0.7152,9.8,24.8,34.6,10,3.2,4,9.4,15.4,27.4,68.4,0.4056,9.6,27.8,0.3516,17.8,40.6,0.4476,0.477,10.8,15.6,0.661,13,19.4,32.4,14.6,5.6,3.4,6.8,17.4,,,,,111.28,110,68.72,0.3594,0.2892,0.5616,51.8,35.8,4.6,9.92,0.5298,12.14,32.56,0.2594,0.477,8.26,67.44,0.162
GEORGIA TECH,32,32,66.4,,24.6,58.8,0.4146,8,23.4,0.3204,16.6,35.4,0.4538,0.4802,9.2,12.4,0.7514,8.4,24.6,33,14.8,5.4,4.2,12.6,12.6,26.8,62.6,0.4276,9.4,27.6,0.335,17.4,35,0.494,0.5042,9.4,12.8,0.702,8.8,23.4,32.2,14.2,9.8,5.4,9.2,12.4,,,,,96.12,104.76,69,0.2214,0.3916,0.5096,50.52,60.9,7.78,12.56,0.4802,16.28,27.54,0.1636,0.5042,11.84,72.46,0.151
GONZAGA,33,33,80.6,,29.4,59.4,0.4966,7.4,19.2,0.362,22,40.2,0.5512,0.5606,14.4,17.6,0.814,6.8,24,30.8,19.4,7,2.6,8.6,17.8,25.8,60.6,0.4236,5.4,20.2,0.2598,20.4,40.4,0.5028,0.4668,13.2,18.4,0.7128,9,21.8,30.8,13.2,5.8,2.8,11.2,16.6,,,,,114.06,99.68,70.54,0.2958,0.3266,0.5968,49.72,65.78,10,6.62,0.5606,11.3,24.26,0.2436,0.4668,13.96,75.74,0.2196
GRAMBLING,32,32,62.8,,21.8,53.4,0.4114,6,17.6,0.3492,15.8,35.8,0.4416,0.4668,13.2,16,0.8238,6.6,24,30.6,12.4,8.2,5.2,10.6,14.4,20.2,59.8,0.3374,6.6,22.4,0.2852,13.6,37.4,0.3518,0.396,11.4,13.8,0.8304,12,23.6,35.6,10.4,8,3.4,11.8,14.6,,,,,96.28,89.26,63.9,0.2966,0.3246,0.5182,46.88,58.2,12.42,13.54,0.4668,14.82,21.9,0.2452,0.396,15,78.12,0.1912
GRAND CANYON,32,32,78.4,,27,58.8,0.4572,4.8,17.8,0.2766,22.2,41,0.5348,0.4984,19.6,26.6,0.7298,8.2,20.4,28.6,11.6,7.4,6,11.6,20.2,27.2,59.2,0.4594,7.8,17.6,0.4428,19.4,41.6,0.4664,0.5262,15,22.6,0.6844,9,22.6,31.6,13.6,6,3,14,22.2,,,,,104.58,103.6,72.98,0.4536,0.3054,0.5458,47.72,40.02,9.66,14.44,0.4984,13.84,25.9,0.3364,0.5262,16.36,74.1,0.2528
GREEN BAY,30,30,78.8,,25.6,60.2,0.4254,8,25.6,0.3118,17.6,34.6,0.5136,0.492,19.6,25.6,0.7576,9.8,22,31.8,16.8,4.6,2.2,8.8,21.8,30.8,62.4,0.494,8,21.2,0.369,22.8,41.2,0.5536,0.5578,16.2,24.4,0.6652,8.2,26.8,35,17.8,4.6,4,9.8,21.2,,,,,107.26,116.56,71.84,0.438,0.4258,0.5456,47.48,65.62,6.3,5.32,0.492,10.78,26.46,0.336,0.5578,11.66,73.54,0.2648
HAMPTON,31,31,68,,26.2,61.6,0.4262,6.8,21.2,0.3122,19.4,40.4,0.4836,0.481,8.8,14.4,0.6056,11,19.6,30.6,10,7.8,3,8,17.6,22.4,48.4,0.4606,4.6,13.6,0.317,17.8,34.8,0.5096,0.5078,14.8,21,0.6978,6.6,23.4,30,11.2,4.2,4,13,15.4,,,,,104.64,98.46,65.12,0.2386,0.342,0.498,50.68,37.28,12.02,8.14,0.481,10.5,32.56,0.1468,0.5078,18.38,67.44,0.3096
HARVARD,25,25,68.4,,25,56.2,0.4468,6.6,20.8,0.325,18.4,35.4,0.5238,0.506,11.8,13,0.866,5.6,21,26.6,12.6,8.2,3.2,10,13.8,26.8,56.8,0.4728,5,18,0.2574,21.8,38.8,0.5748,0.5192,9.4,12.6,0.774,7.6,23.4,31,11,5.2,2.4,12.2,13,,,,,102,101.76,65.48,0.233,0.3682,0.5486,46,50.22,12.26,8.36,0.506,13.98,19.46,0.212,0.5192,16.52,80.54,0.1696
HAWAII,29,29,67,,23.2,56,0.415,6.8,23,0.2962,16.4,33,0.4926,0.4756,13.8,17.2,0.8298,7.8,23.6,31.4,12.8,2.4,1.6,12.6,16.8,28.2,61.2,0.4616,8.2,19.8,0.4072,20,41.4,0.487,0.5298,14,18.6,0.7472,8.4,22.4,30.8,12.6,7.4,2.2,6.6,17.6,,,,,97.18,114.88,68.6,0.3178,0.4098,0.5208,50.6,56.08,3.5,4,0.4756,16.4,25.78,0.2538,0.5298,8.6,74.22,0.2296
HIGH POINT,33,33,78.6,,29.6,60.6,0.4894,8.6,24.2,0.3634,21,36.4,0.5762,0.5614,10.8,16,0.71,10.2,22.6,32.8,12.6,6.2,2.8,10.2,16,25.4,58.8,0.4382,7,21.6,0.324,18.4,37.2,0.5,0.4978,11.6,17,0.6756,10,20.4,30.4,9.8,5.6,1.6,11.6,16.4,,,,,115.42,103.42,68.34,0.273,0.4006,0.577,51.8,42.92,8.68,7.36,0.5614,12.9,33.66,0.1832,0.4978,14.66,66.34,0.204
HOFSTRA,31,31,68.2,,26,60.6,0.431,10.2,26.6,0.387,15.8,34,0.4658,0.5154,6,9.4,0.6408,10.4,25.2,35.6,15,6.6,4,8.8,15.8,19.8,52.8,0.3748,6.4,21,0.3056,13.4,31.8,0.4172,0.435,12.6,17.6,0.7242,7.4,22.2,29.6,9.6,4.8,3.8,10.4,13,,,,,106.52,91.94,63.8,0.1544,0.4374,0.526,54.32,57.34,10.26,12.74,0.5154,11.9,31,0.0994,0.435,14.4,69,0.2404
HOLY CROSS,30,30,74.6,,26.6,59.2,0.4504,10.4,25.2,0.4156,16.2,34,0.473,0.5384,11,14.6,0.73725,7,26,33,13,4.2,4,13.2,15.8,30.4,62,0.4914,6.6,18.2,0.361,23.8,43.8,0.5434,0.5446,11.8,17.8,0.6424,6.6,25.6,32.2,17,7.4,2.4,9,15.2,,,,,102.88,109.14,69.24,0.2546,0.4248,0.566,49.86,48.92,5.8,9.14,0.5384,16.6,20.76,0.1924,0.5446,11.3,79.24,0.1914
HOUSTON,36,36,72.4,,26.6,63.2,0.4208,9,23,0.3998,17.6,40.2,0.4364,0.492,10.2,13.2,0.808,12.2,23,35.2,13.6,6.6,3.6,6.2,14.8,20.4,52.4,0.3874,5.8,23.6,0.2558,14.6,28.8,0.5038,0.4428,11.4,15.2,0.7608,6.2,21.8,28,13.6,4,3.2,10,13.8,,,,,114,91.52,63.46,0.2098,0.363,0.5204,55.68,51.26,10.34,12.94,0.492,8.16,36.12,0.162,0.4428,14.28,63.9,0.2178
HOUSTON CHRISTIAN,30,30,58.6,,21,53,0.3946,7.4,22.8,0.3222,13.6,30.2,0.45,0.4648,9.2,15.4,0.601,6.4,21,27.4,9.8,8,3.8,10.6,12.2,22.8,53.4,0.4302,6,18.6,0.3328,16.8,34.8,0.4818,0.4872,10,15.8,0.6266,9.2,26.6,35.8,11.2,7.4,2.4,11.6,14.6,,,,,91.5,96.68,63.94,0.2912,0.4306,0.4846,42.84,46.66,12.6,11.08,0.4648,14.94,19.5,0.1746,0.4872,16.1,80.5,0.1916
HOWARD,30,30,71.4,,23.8,62,0.3832,8,27,0.2972,15.8,35,0.4494,0.449,15.8,20.8,0.7622,12.2,21.8,34,10.8,5.6,4.2,14.8,22.2,26.4,59.4,0.4422,4.4,12.6,0.337,22,46.8,0.468,0.4782,21.8,28.8,0.7678,9.2,23.6,32.8,12.2,7.2,3.6,12,18.4,,,,,94.68,105.06,75.2,0.3342,0.4386,0.4964,50.88,44.94,7.56,8.5,0.449,17.12,34.08,0.254,0.4782,14.16,65.92,0.378
IDAHO,31,31,68.2,,22.6,58.6,0.3876,9.6,30.4,0.302,13,28.2,0.4706,0.4688,13.4,17.4,0.787,9,24.4,33.4,10.6,4.6,3.2,10.4,14,28,63.8,0.4464,8.4,29.2,0.2864,19.6,34.6,0.5734,0.513,9.8,14.2,0.681,8.2,25.4,33.6,16,6.2,2.2,7.2,15.6,,,,,98.54,108.02,67.26,0.3088,0.518,0.5092,49.78,45.46,6.7,9.18,0.4688,13.4,25.82,0.2364,0.513,9.38,74.18,0.159
IDAHO STATE,28,28,73.8,,27,62.2,0.4376,6,21.6,0.2762,21,40.6,0.5246,0.487,13.8,18.8,0.7272,12.4,22.8,35.2,11.2,5,3.2,8.2,14.6,25.8,54.2,0.4798,9.6,23.6,0.421,16.2,30.6,0.528,0.5676,8.2,13.2,0.6548,6.8,20.8,27.6,15.4,4.4,2.8,12.6,17.2,,,,,110.8,104.22,66.6,0.3054,0.3484,0.5212,56.24,40.92,7.56,10.98,0.487,10.3,36.8,0.2232,0.5676,17.26,63.2,0.1544
ILLINOIS,33,33,84,,28.2,61,0.4624,10,29,0.3464,18.2,32,0.5726,0.5452,17.6,22,0.7988,10,27.8,37.8,15.6,2.6,4,12.6,15.4,31.6,67,0.4708,8.8,21.8,0.3972,22.8,45.2,0.5026,0.536,11.8,17.2,0.6782,6.2,21.2,27.4,16.2,9.6,2.8,4.8,18.2,,,,,113.86,113.3,73.92,0.3606,0.4776,0.5872,57.8,55.02,3.48,8.82,0.5452,14.94,31.6,0.2894,0.536,6.08,68.4,0.1772
ILLINOIS STATE,34,34,73.6,,26,54,0.4914,8,23.2,0.3582,18,30.8,0.5876,0.5676,13.6,18.6,0.7252,6.4,24.4,30.8,14.6,4.6,3.4,10.4,16.8,24.4,59.2,0.4118,4.8,18,0.2664,19.6,41.2,0.4748,0.452,14.6,18.8,0.7682,8,22.8,30.8,8.8,6.2,3.2,8.6,17,,,,,109.42,100.44,67.78,0.3546,0.4248,0.5946,50.36,56.32,6.76,8.4,0.5676,14.32,22.14,0.2592,0.452,11.24,77.86,0.2472
ILLINOIS-CHICAGO,29,29,63.6,,22.2,55.8,0.3988,7,21.6,0.3246,15.2,34.2,0.4568,0.4634,12.2,17.2,0.6942,8,23.8,31.8,13.6,6,3.2,11.8,13.8,28,61,0.4626,7.2,21.4,0.3384,20.8,39.6,0.5308,0.5224,9.8,12.6,0.7662,8,24.8,32.8,16.8,7.6,4.8,8.4,15.6,,,,,93.52,109.16,67.56,0.3092,0.3984,0.498,48.74,60.34,8.76,7.78,0.4634,15.78,24.14,0.2174,0.5224,11.12,75.86,0.1636
INCARNATE WORD,34,34,78.6,,28.6,62.4,0.4592,6.2,21.4,0.2842,22.4,41,0.545,0.5086,15.2,21.2,0.714,10.2,22.4,32.6,12,9,3,9.2,20.2,25.6,58.8,0.436,4.6,16.8,0.2576,21,42,0.5036,0.4764,19.2,27.4,0.6924,11.8,22.8,34.6,11.2,5.8,1.6,12.2,16.8,,,,,109.52,104.44,68.62,0.3474,0.3418,0.5426,48.54,41.32,12.4,7.12,0.5086,11.24,31.02,0.2492,0.4764,14.38,68.98,0.331
INDIANA,30,30,70,,25.8,60,0.435,7.4,19.8,0.3836,18.4,40.2,0.4628,0.4982,11,17.4,0.5828,10,21.8,31.8,17.6,5.2,3.2,10.2,15.6,23.8,55.6,0.4314,7,22.4,0.3196,16.8,33.2,0.5056,0.4952,14.4,18,0.7938,6.6,22.6,29.2,13,6.8,4.2,10.6,16,,,,,102.42,100.98,68.32,0.3094,0.3316,0.5168,52.46,67.94,7.56,9.76,0.4982,13,29.98,0.1972,0.4952,14.22,70.02,0.2586
INDIANA STATE,30,30,80.8,,28.2,60,0.4722,10.4,29.2,0.3566,17.8,30.8,0.5766,0.558,14,19.2,0.7198,5.2,25.4,30.6,17.2,5.8,1.8,10,18.4,28.4,60.6,0.466,7.2,21.2,0.3406,21.2,39.4,0.5326,0.5256,16.8,24.2,0.6976,7.8,25.4,33.2,12.4,7.2,4.2,8.6,15.2,,,,,109.94,110.26,73.42,0.3354,0.48,0.5856,47.8,60.78,7.92,4.62,0.558,12.62,16.38,0.2466,0.5256,10.6,83.62,0.289
IONA,32,32,75.8,,28.8,60.2,0.4768,6.6,20,0.3202,22.2,40.2,0.5442,0.531,11.6,16.4,0.7084,11.6,22.4,34,15.6,7.4,2.8,11.4,16.8,23.4,57.6,0.4062,9.8,30.2,0.3168,13.6,27.4,0.5006,0.4916,11.6,15.2,0.7424,8.4,17.4,25.8,15,5.8,2.4,12,15.6,,,,,111.16,99.68,68.12,0.2716,0.3316,0.5554,57.26,53.98,10.78,10.1,0.531,14.28,40.12,0.1922,0.4916,15.64,59.88,0.198
IOWA,31,31,79,,30,61.6,0.4852,9.8,24.8,0.3958,20.2,36.8,0.5482,0.5654,9.2,13,0.7042,7,22.6,29.6,18.4,4.8,3.6,7,18.4,27,60,0.4484,8.2,25,0.327,18.8,35,0.534,0.5172,18.4,25.2,0.7304,10,23.8,33.8,15,4.4,2.8,7.4,15.4,,,,,114.56,116.8,68.56,0.2116,0.4062,0.5824,46.66,63,7,10.04,0.5654,9.46,22.74,0.1516,0.5172,9.26,77.26,0.305
IOWA STATE,33,33,80.2,,30.4,57.4,0.5268,9,22.4,0.3982,21.4,35,0.6066,0.6048,10.4,14.2,0.7248,7.8,23.8,31.6,15,7.8,2.6,12.4,18.4,24,55,0.4354,9.6,26.8,0.352,14.4,28.2,0.5052,0.5212,13.4,17.4,0.7738,7.4,18.6,26,16.4,8.4,2.6,12.2,16,,,,,117.3,103.6,68.44,0.2568,0.3892,0.6254,54.76,49.98,11.36,10.86,0.6048,16.2,28.82,0.1892,0.5212,16.12,71.18,0.243
IU INDY,30,30,78.2,,27.6,59.6,0.4624,10.6,24.6,0.4336,17,35,0.481,0.5524,12.4,15.6,0.7988,8.4,18.8,27.2,14.6,6.2,1.8,6.2,14.2,31.2,60.6,0.5192,10.2,28.2,0.3548,21,32.4,0.6658,0.6048,8.6,12.2,0.6862,10.2,22.8,33,20.4,3.6,3.4,9.2,13.2,,,,,119.8,125.02,65.1,0.2648,0.4158,0.5832,44.2,54.38,9.46,5.62,0.5524,8.3,26.48,0.2098,0.6048,12.14,73.52,0.1446
JACKSON STATE,32,32,72,,25.2,52.6,0.4814,5.4,14.4,0.3426,19.8,38.2,0.519,0.534,16.2,22.6,0.7158,8,28,36,13.2,5.4,3.4,12.2,13.4,23,62,0.3844,8.2,25.4,0.3292,14.8,36.6,0.4268,0.4548,9.2,14.8,0.663,8.8,20.8,29.6,13.4,7.2,2.8,8.8,16.6,,,,,105.36,93,68.28,0.436,0.2736,0.569,55.24,52.62,7.9,9.14,0.534,16.16,27.3,0.3142,0.4548,11.58,72.7,0.154
JACKSONVILLE,31,31,70,,25,56.2,0.4454,5.8,18.6,0.3082,19.2,37.6,0.5052,0.4968,14.2,21.4,0.675,10.6,23,33.6,13.8,6.4,2.6,11.8,18.8,25.4,56.4,0.4526,6.6,20.6,0.3348,18.8,35.8,0.5254,0.5112,14.4,21.4,0.655,9.6,19.2,28.8,9.6,8.6,2.8,9.6,18.4,,,,,104.74,106.94,67.08,0.3834,0.3296,0.5266,53.76,54.68,9.52,7.54,0.4968,15.04,35.58,0.2534,0.5112,12.46,64.42,0.2604
JACKSONVILLE STATE,34,34,68.8,,24.6,55.8,0.4404,7.6,21,0.3476,17,34.8,0.4902,0.5076,12,19,0.6212,9.8,24.4,34.2,12.4,6.2,3.4,10.4,14.6,23.8,55.2,0.4364,10.6,25.2,0.4312,13.2,30,0.4388,0.5328,8.4,13.2,0.675,6,20.4,26.4,14.2,6.8,2.8,9.6,15,,,,,105.38,102.64,65.24,0.3442,0.3738,0.5324,56.4,49.48,9.42,11.32,0.5076,13.74,32.16,0.2182,0.5328,13.44,67.84,0.1528
JAMES MADISON,30,30,79.8,,25.6,63.6,0.4016,9.2,28.8,0.3194,16.4,34.8,0.4706,0.474,19.4,24.6,0.7814,12.2,19,31.2,11.4,6.4,2.8,7,20.4,26.6,59,0.4488,6,17.8,0.3338,20.6,41.2,0.5044,0.5002,20,25.4,0.8012,12.2,24,36.2,8.4,5,2.8,10.6,17.6,,,,,114.28,112.92,66.72,0.389,0.4518,0.5288,46.48,44.2,9.24,6.9,0.474,8.52,33.54,0.3062,0.5002,13.1,66.46,0.3434
KANSAS,32,32,77.8,,27.6,61.4,0.449,9.4,21.6,0.433,18.2,39.8,0.4536,0.5242,13.2,17,0.767,9.4,23.6,33,17.8,5,4.2,13.8,16,28,62.8,0.4494,8.2,22.2,0.3686,19.8,40.6,0.493,0.514,16.2,20,0.8056,9.2,22,31.2,12.6,9.8,5.2,9.6,15.6,,,,,105.9,109.68,71.36,0.2886,0.3462,0.5606,51.3,64.44,6.7,10.52,0.5242,16.82,28.9,0.2268,0.514,11.6,71.1,0.2622
KANSAS CITY,31,31,64.4,,23.2,56.6,0.4108,7.4,21.4,0.3226,15.8,35.2,0.4506,0.4744,10.6,15,0.687,9.8,21.8,31.6,11.4,6.2,3.4,10.8,15.4,21.8,53,0.4116,6,21,0.2992,15.8,32,0.4986,0.4674,13.8,17,0.827,7.2,21.8,29,10.2,6.4,2.6,10.8,15.2,,,,,99.78,97.92,64.72,0.2728,0.3734,0.5066,52.38,48.64,9.54,10.68,0.4744,14.44,31.2,0.1924,0.4674,15.06,68.8,0.2614
KANSAS STATE,31,31,60.6,,22.2,55.8,0.3992,4.6,20.6,0.2318,17.6,35.2,0.5064,0.4404,11.6,15.2,0.764,7.4,23.8,31.2,12.4,6.2,2.4,11.2,15,23.6,57,0.4148,5.4,21.6,0.2474,18.2,35.4,0.5152,0.4624,10.2,15.2,0.6456,7.4,25.4,32.8,14.2,6.6,3.6,9.2,15.8,,,,,91.32,94.9,66.44,0.2722,0.369,0.4822,48.82,56.86,9.22,7.18,0.4404,15,22.48,0.207,0.4624,12.46,77.52,0.1832
KENNESAW STATE,31,31,75.8,,24.6,55.4,0.4414,9.2,25.2,0.3626,15.4,30.2,0.5046,0.5244,17.4,22,0.7924,7.8,25,32.8,14.2,5.8,4,11.4,21.4,24,55.2,0.436,8.8,23.6,0.3706,15.2,31.6,0.4928,0.5168,20,28.2,0.69,6.6,22.2,28.8,12.2,7.4,3.6,8.6,18.2,,,,,108.58,109.88,70.02,0.4072,0.4538,0.5748,53.26,58.74,8.28,12.74,0.5244,14.58,26.12,0.322,0.5168,11.18,73.88,0.3912
KENT STATE,34,34,70.2,,25.8,60.8,0.425,7.2,19.8,0.3652,18.6,41,0.4566,0.4842,11.4,18,0.6216,9.8,27.8,37.6,9.6,7.2,1.8,10.8,16,24.8,59.6,0.4164,8.6,28.2,0.3046,16.2,31.4,0.5178,0.4892,10,15.4,0.6324,7.6,25.2,32.8,13.6,5,3.8,9.2,17.4,,,,,101.08,98.3,69.44,0.2978,0.3242,0.5086,53.34,35.96,10.3,5.54,0.4842,13.6,27.94,0.1902,0.4892,12.04,72.06,0.1698
KENTUCKY,34,34,76,,27.4,58.8,0.4656,7.4,21,0.3524,20,37.8,0.531,0.528,13.8,21.2,0.6512,5.4,24.8,30.2,16,7.8,3.4,10.4,16.4,28.8,63,0.4568,8.4,27.4,0.3066,20.4,35.6,0.5694,0.523,12.6,17.4,0.7066,9,26,35,14.8,7.6,3,10,18,,,,,104.56,107.46,73.06,0.3624,0.3566,0.5532,46,58.06,10.74,10.1,0.528,13.16,17.22,0.2364,0.523,12.26,82.78,0.2006
LA SALLE,31,31,70.2,,23.6,56.6,0.4168,8.4,18.4,0.4662,15.2,38.2,0.3974,0.4904,14.6,19.2,0.7484,8.6,25.2,33.8,10.8,7.4,3.6,10.2,18,23.8,57.4,0.419,8,24.2,0.3244,15.8,33.2,0.4806,0.4888,16.4,24.2,0.6958,10.2,23.2,33.4,12.8,6.4,4.6,9.6,16.6,,,,,103.32,106.26,67.8,0.3522,0.325,0.5326,50.52,46.32,10.92,10.8,0.4904,13.44,27.26,0.2686,0.4888,12.36,72.74,0.293
LAFAYETTE,31,31,72.2,,25.2,54.4,0.4642,8,22.4,0.3476,17.2,32,0.5412,0.5388,13.8,17.6,0.785,5.6,24.8,30.4,17.2,4.6,3.8,9.6,12.8,25,57.8,0.4366,8.8,22.2,0.406,16.2,35.6,0.4584,0.514,9.2,12.4,0.72375,6.8,23.6,30.4,13,5.8,2.2,9.8,17.2,,,,,108.1,102.16,66.74,0.323,0.4152,0.577,50.04,68.06,6.98,10.82,0.5388,13.4,19.16,0.2518,0.514,13.4,80.84,0.1566
LAMAR,31,31,60.8,,21.6,58,0.3744,5.8,20.2,0.291,15.8,37.8,0.4178,0.424,11.8,17.4,0.6792,12.2,23.8,36,10,6.8,6,12,16,21.2,52.8,0.4064,5.8,18.8,0.2946,15.4,34,0.4556,0.4622,14.2,21.6,0.6532,8,22.4,30.4,11.8,8.4,4.2,10,17,,,,,92.9,95.3,65.6,0.305,0.3472,0.4612,53.88,46.5,10.28,16.88,0.424,15.36,35.06,0.2074,0.4622,13.66,64.94,0.2768
LE MOYNE,31,31,70.5,,24.75,52.25,0.472,7.25,18.75,0.379,17.5,33.5,0.5275,0.54,13.75,18.75,0.72825,7.25,18.5,25.75,11.75,6.5,1.5,13,15.75,28.5,57,0.4995,10,23.25,0.42525,18.5,33.75,0.5415,0.59,15.75,18,0.897,9,20.5,29.5,16.25,9.25,3.25,10,16.25,,,,,105.625,124.075,66.725,0.3845,0.364,0.5785,46.675,49.15,9.675,5.275,0.54,17.775,26.2,0.29025,0.59,13.225,73.8,0.29425
LEHIGH,28,28,70,,24.8,52.8,0.4698,6.6,18.8,0.3622,18.2,34,0.5396,0.5328,13.8,19.6,0.681,5.6,23,28.6,14.4,4.8,2.6,11.2,18.4,24.6,55.4,0.4468,5,20.4,0.2462,19.6,35,0.5664,0.4924,19.4,24.4,0.8032,8.6,22.4,31,11.6,7.4,1.8,9.6,17.2,,,,,102.58,109.08,67.86,0.3862,0.3592,0.5626,47.9,57.78,7.12,7.3,0.5328,15.04,20.64,0.2732,0.4924,12.54,79.36,0.3512
