School Name,Rk,Gtm,Score Tm_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
BELLARMINE,29,29,75.6,,28.2,56,0.5038,9.6,24,0.405,18.6,32,0.5758,0.589,9.6,13.2,0.718,4,21.6,25.6,15.6,6.4,2.2,9,16.2,24.6,57.6,0.4308,10.2,27.6,0.3764,14.4,30,0.4784,0.5186,15,19,0.7446,8.4,23.4,31.8,14,5.6,2,10,13.4,,,,,111.14,110.12,67.76,0.2438,0.4282,0.6048,44.3,55.16,9.54,7.78,0.589,12.62,14.28,0.1776,0.5186,13.2,85.72,0.2754
BELMONT,31,31,69.4,,25,58.2,0.4288,8,24.2,0.3262,17,34,0.5044,0.4984,11.4,15,0.7274,7.4,26.4,33.8,16.2,7.4,3.4,12.2,15.8,22.2,58.6,0.3812,8,28.4,0.276,14.2,30.2,0.4784,0.4476,11.6,15.4,0.7386,8,22.8,30.8,12.8,8.8,3,12,15.4,,,,,98.72,91.76,70.04,0.2526,0.4218,0.5298,52.36,65.6,10.76,11.12,0.4984,15.84,24.7,0.191,0.4476,15.5,75.3,0.2204
BETHUNE-COOKMAN,31,31,68.6,,23.6,59.4,0.4126,6.6,20,0.3464,17,39.4,0.442,0.4712,14.8,22,0.6664,9.6,23.4,33,15.6,7.6,2.6,10.6,14,25.4,57,0.4462,5,16.8,0.3204,20.4,40.2,0.5162,0.492,13.4,18,0.7532,8.4,25.4,33.8,13,6.6,3.2,11.4,17.4,,,,,98.62,99.32,69.68,0.4004,0.3352,0.5024,49.52,65.68,10.92,6.18,0.4712,13.3,27.58,0.2702,0.492,14.86,72.42,0.2426
BINGHAMTON,30,30,68.2,,24.4,54,0.4518,6.2,19,0.3272,18.2,35,0.523,0.509,13.2,18.4,0.6584,8.2,24.4,32.6,10.2,5.4,3,12,12.2,26.4,60.6,0.4408,9.6,27.4,0.35,16.8,33.2,0.5038,0.52,8,11.8,0.7152,8,21,29,12.4,7.6,4.4,8.8,15.8,,,,,102.08,106.06,66.76,0.3424,0.3528,0.5428,52.68,41.24,8.02,8.66,0.509,15.94,27.54,0.2452,0.52,11.74,72.46,0.1318
BOISE STATE,34,33.5,69.75,,24.25,57.25,0.41725,8.75,29.75,0.2975,15.5,27.5,0.5535,0.495,12.5,15.75,0.7985,9.5,25,34.5,13.5,8,3.25,10.25,16.25,21.25,52.25,0.407,8.25,22.25,0.3685,13,30,0.44,0.4875,11.5,18.75,0.621,6,21.25,27.25,12,5,1.75,12,14.25,,,,,104.525,94.85,66.3,0.28925,0.53275,0.5355,55.7,55.2,11.575,11.325,0.495,13.875,30.925,0.228,0.4875,16.2,69.075,0.22025
BOSTON COLLEGE,29,29,67.2,,24,58.2,0.4132,6.2,20.2,0.3088,17.8,38,0.48,0.4668,13,18.6,0.7028,8.2,20,28.2,11,6,4,10,17.4,27,58.8,0.4576,8.2,22.6,0.363,18.8,36.2,0.5192,0.527,14.8,19.2,0.7786,11.2,25.4,36.6,13.6,5.8,4,11.2,16.4,,,,,98.38,112.38,68.4,0.3224,0.352,0.5012,43.36,46.1,8.82,11.22,0.4668,12.9,24.52,0.2242,0.527,14.2,75.5,0.251
BOSTON UNIVERSITY,30,30,67,,24.2,53.2,0.4526,6.8,19.8,0.351,17.4,33.4,0.5224,0.517,11.8,15.6,0.6858,8.6,23.4,32,10,6.2,2.4,13.2,18,22.8,52.2,0.44,6.2,20.4,0.3032,16.6,31.8,0.527,0.4998,14.6,19.4,0.7394,6.4,20,26.4,11.6,8,3,9.8,15,,,,,102.56,101.72,65,0.29,0.373,0.548,54.82,42.42,9.44,7.18,0.517,17.9,29.7,0.219,0.4998,13.82,70.32,0.2938
BOWLING GREEN STATE,30,30,65.4,,23.4,53,0.4434,6.6,18.2,0.3726,16.8,34.8,0.4818,0.5068,12,17.2,0.7102,5,27.6,32.6,10.8,5.2,3.2,12.6,14,24.2,60.8,0.3944,9.4,31,0.295,14.8,29.8,0.4852,0.4708,8.2,11.4,0.6986,7.6,22.4,30,14.4,8.6,5.4,9.4,15.8,,,,,95.98,95.7,68.4,0.3296,0.3432,0.536,52.1,46.4,7.52,11.5,0.5068,16.7,18.1,0.2292,0.4708,12.38,81.9,0.1358
BRADLEY,35,35,65.8,,23.2,50,0.465,7.4,22,0.328,15.8,28,0.5646,0.5378,12,18.6,0.6622,5.4,23.8,29.2,13.4,4.6,4.4,10.2,14.4,22,55.6,0.3996,7.6,22.4,0.3416,14.4,33.2,0.4436,0.4672,13.2,17.6,0.7466,9,22.8,31.8,12,7,2.4,8.6,16.8,,,,,102.92,102.6,63.6,0.3668,0.4392,0.561,47.54,59.1,7.16,13,0.5378,14.96,18,0.2376,0.4672,11.7,82.02,0.2492
BRIGHAM YOUNG,34,34,81.8,,28.2,61.8,0.4568,9.8,28,0.3452,18.4,33.8,0.539,0.5378,15.6,19,0.8548,10.4,22.4,32.8,17.6,7.2,3.2,11,17.2,29.6,62.6,0.4702,15,36,0.4092,14.6,26.6,0.5516,0.5888,13.6,17.2,0.7628,9.8,20.4,30.2,15.4,6.8,3.8,9.2,19,,,,,115.24,123.24,70.8,0.3144,0.455,0.5768,52.14,62.16,10.12,11.68,0.5378,13.5,33.9,0.2564,0.5888,11.46,66.1,0.2208
BROWN,25,25,69,,27.6,65,0.422,5.4,23.6,0.2112,22.2,41.4,0.5288,0.4636,8.4,14.8,0.5572,11.8,23.6,35.4,14.2,6.2,5.6,10,16.8,23.8,59,0.4048,7.4,24.2,0.315,16.4,34.8,0.4714,0.467,14.2,19.2,0.73,9.2,25.4,34.6,13,5.6,4.2,10.8,13.6,,,,,98.52,98.6,69.96,0.2318,0.364,0.4788,50.82,49.64,8.9,16.28,0.4636,12.32,32.26,0.1352,0.467,13.84,67.74,0.2382
